technology,category,parent
php,pl,php
java,pl,java
ruby,pl,ruby
objective-c,pl,objective-c
c++,pl,c++
perl,pl,perl
lua,pl,lua
python,pl,python
scala,pl,scala
clojure,pl,clojure
coffeescript,pl,coffeescript
javascript,pl,javascript
haskell,pl,haskell
lisp,pl,lisp
ruby on rails,wf,ruby
codeigniter,wf,php
zend framework,wf,php
cakephp,wf,php
spring,wf,java
yii,wf,php
django,wf,python
pear,wf,php
symfony,wf,php
tapestry,wf,java
gwt,wf,java
wordpress,cms,php
drupal,cms,php
joomla,cms,php
concrete5,cms,php
typo3,cms,php
liferay,cms,java
hippo,cms,java
alfresco,cms,java
mambo,cms,php
webgui,cms,perl
e107,cms,php
opencms,cms,java
magnolia,cms,java